sku,date,actual,predicted,accuracy,pred_p50,acc_p50,strategy,is_promo,discount_rate,ppc_fee
H0007,2025-10-01,32,39.5,76.5,44.1,62.2,AQ(P30),0,0.0,80.53
H0007,2025-10-02,40,40.4,98.9,45.2,86.9,AQ(P30),0,0.0,65.86
H0007,2025-10-03,44,41.8,95.0,47.0,93.1,AQ(P30),0,0.0,87.92
H0007,2025-10-04,33,44.5,65.2,50.7,46.5,AQ(P30),0,0.0,115.74
H0007,2025-10-05,53,46.9,88.6,53.8,98.5,AQ(P30),0,0.0,136.58
H0007,2025-10-06,38,47.2,75.7,54.9,55.5,AQ(P30),0,0.0,139.93
H0007,2025-10-07,111,102.4,92.3,123.8,88.4,AQ(P30),0,0.0018,239.66
H0007,2025-10-08,131,103.7,79.1,124.7,95.2,AQ(P30),0,0.0008,215.67
H0007,2025-10-09,44,44.1,99.8,51.0,84.2,AQ(P30),0,0.0057,67.1
H0007,2025-10-10,25,44.1,23.7,49.8,0.8,AQ(P30),0,0.0,49.34
H0007,2025-10-11,42,46.2,90.1,53.4,72.9,AQ(P30),0,0.0,95.03
H0007,2025-10-12,34,48.1,58.4,54.8,38.7,AQ(P30),0,0.0,110.37
H0007,2025-10-13,58,49.5,85.4,56.7,97.7,AQ(P30),0,0.0,112.91
H0007,2025-10-14,61,53.1,87.1,60.7,99.6,AQ(P30),0,0.0033,114.48
H0007,2025-10-15,66,53.5,81.0,61.0,92.5,AQ(P30),0,0.0,96.0
H0007,2025-10-16,69,54.8,79.5,62.6,90.8,AQ(P30),0,0.0015,102.36
H0007,2025-10-17,73,59.8,82.0,69.5,95.2,AQ(P30),0,0.0014,107.1
H0007,2025-10-18,74,58.4,78.9,67.7,91.5,AQ(P30),0,0.0,106.55
H0007,2025-10-19,88,71.2,80.9,82.5,93.7,AQ(P30),0,0.0012,159.28
H0007,2025-10-20,35,48.8,60.7,57.6,35.5,AQ(P30),0,0.0014,101.85
H0007,2025-10-21,77,49.0,63.6,57.2,74.2,AQ(P30),0,0.0013,105.81
H0007,2025-10-22,66,49.7,75.4,58.8,89.1,AQ(P30),0,0.0015,113.47
H0007,2025-10-23,70,50.8,72.6,59.7,85.3,AQ(P30),0,0.0029,102.91
H0007,2025-10-24,77,58.5,76.0,68.4,88.8,AQ(P30),0,0.0013,120.72
H0007,2025-10-25,55,57.9,94.7,67.2,77.9,AQ(P30),0,0.0055,137.82
H0007,2025-10-26,80,69.4,86.8,80.4,99.5,AQ(P30),0,0.0006,165.51
H0007,2025-10-27,41,50.7,76.3,59.5,55.0,AQ(P30),0,0.1244,85.81
H0007,2025-10-28,33,50.7,46.3,59.3,20.2,AQ(P30),0,0.0,86.5
H0007,2025-10-29,48,52.8,89.9,62.0,70.8,AQ(P30),0,0.0031,79.87
H0007,2025-10-30,52,52.8,98.5,61.7,81.4,AQ(P30),0,0.0039,94.2
H0007,2025-10-31,40,54.8,63.1,63.3,41.8,AQ(P30),0,0.0037,87.8
H0007,2025-11-01,41,57.7,59.4,66.7,37.3,AQ(P30),0,0.0,122.49
H0007,2025-11-02,60,65.3,91.2,78.9,68.5,AQ(P30),0,0.0018,157.02
H0007,2025-11-03,48,59.3,76.4,71.9,50.2,AQ(P30),0,0.001,106.92
H0007,2025-11-04,29,60.3,0.0,74.0,0.0,AQ(P30),0,0.0436,109.93
H0007,2025-11-05,50,64.6,70.8,78.0,44.0,AQ(P30),0,0.0557,119.56
H0007,2025-11-06,63,69.7,89.4,82.6,68.8,AQ(P30),0,0.0565,105.58
H0007,2025-11-07,67,82.4,77.0,97.3,54.8,AQ(P30),0,0.0577,175.46
H0007,2025-11-08,80,88.8,89.0,104.3,69.7,AQ(P30),0,0.0571,190.86
H0007,2025-11-09,84,118.4,59.1,138.0,35.8,AQ(P30),0,0.056,285.19
H0007,2025-11-10,93,118.1,73.0,138.5,51.0,AQ(P30),0,0.0354,269.36
H0007,2025-11-11,66,113.7,27.7,134.6,0.0,AQ(P30),0,0.0,214.9
H0007,2025-11-12,92,122.3,67.1,147.2,40.0,AQ(P30),0,0.0033,199.51
H0007,2025-11-13,87,155.7,21.1,190.0,0.0,AQ(P30),0,0.0178,257.12
H0007,2025-11-14,106,163.4,45.9,199.2,12.1,AQ(P30),0,0.0992,271.27
H0007,2025-11-15,125,246.5,2.8,299.8,0.0,AQ(P30),0,0.0993,481.15
H0007,2025-11-16,142,321.7,0.0,391.3,0.0,AQ(P30),0,0.0994,537.75
H0007,2025-11-17,87,214.3,0.0,272.6,0.0,AQ(P30),0,0.2213,350.22
H0007,2025-11-18,155,234.4,48.8,293.8,10.4,AQ(P30),0,0.0824,410.28
H0007,2025-11-19,153,279.4,17.4,349.2,0.0,AQ(P30),0,0.0,375.44
H0007,2025-11-20,348,386.1,89.0,468.0,65.5,AQ(P30),0,0.0,614.81
H0007,2025-11-21,299,405.9,64.3,489.3,36.4,AQ(P30),0,0.0,572.97
H0007,2025-11-22,385,559.7,54.6,650.7,31.0,AQ(P30),1,0.0,733.81
H0007,2025-11-23,574,672.3,82.9,764.7,66.8,AQ(P30),1,0.0,1014.39
H0007,2025-11-24,641,695.8,91.5,792.4,76.4,AQ(P30),1,0.0,1032.96
H0007,2025-11-25,707,766.0,91.7,861.2,78.2,AQ(P30),1,0.0,1223.86
H0007,2025-11-26,553,691.2,75.0,803.3,54.7,AQ(P30),1,0.0,972.72
H0007,2025-11-27,335,755.7,0.0,851.7,0.0,AQ(P30),1,0.0,1177.94
H0007,2025-11-28,476,622.9,69.1,737.5,45.1,AQ(P30),2,0.0002,800.16
H0007,2025-11-29,215,440.0,0.0,541.8,0.0,AQ(P30),1,0.0054,517.49
