sku,cv,hist_bias,strategy,acc_p50,acc_auto,diff
H0002,1.85,0.38,AQ(P30),58.2,57.7,-0.5
H0004,0.76,0.1,P50,71.8,71.8,0.0
H0005,1.49,0.17,AQ(P40),72.2,75.6,3.4
H0007,1.22,0.13,P50,55.0,55.0,0.0
H0008,1.29,-0.01,P50,76.8,76.8,0.0
H0012,0.97,0.26,P50,82.3,82.3,0.0
H0013,0.47,0.1,Log,83.3,83.1,-0.2
H0015,1.29,0.11,P50,76.2,76.2,0.0
H0016,4.17,0.51,P50,49.6,49.6,0.0
H0017,1.05,-0.27,P50,69.7,69.7,0.0
H0020,0.92,-0.14,P50,65.6,65.6,0.0
H0021,0.58,0.13,P50,75.9,75.9,0.0
H0023,0.86,0.15,P50,71.3,71.3,0.0
H0025,3.42,-0.4,P50,47.0,47.0,0.0
H0026,2.35,-0.5,P50,47.8,47.8,0.0
H0028,1.58,0.24,AQ(P40),76.5,77.5,1.0
H0030,0.87,0.2,P50,80.7,80.7,0.0
H0031,0.73,0.06,Log,61.1,65.0,3.8
H0032,2.9,0.3,P50,62.6,62.6,0.0
H0033,2.88,0.47,P50,40.4,40.4,0.0
H0034,2.13,0.02,P50,51.9,51.9,0.0
H0035,2.18,0.48,P50,55.4,55.4,0.0
H0038,0.99,-0.1,P50,67.7,67.7,0.0
H0041,1.09,0.13,P50,75.9,75.9,0.0
H0044,1.69,0.59,AQ(P30),24.5,45.9,21.4
H0046,1.15,0.69,AQ(P30),77.9,77.5,-0.4
H0047,1.98,0.21,AQ(P40),64.0,69.5,5.5
H0048,0.94,-0.04,P50,69.6,69.6,0.0
H0049,0.58,0.21,P50,69.0,69.0,0.0
H0050,0.68,-0.19,P50,74.4,74.4,0.0
H0053,1.19,0.13,P50,80.8,80.8,0.0
H0054,1.33,0.26,AQ(P40),59.6,57.3,-2.3
H0055,0.91,-0.14,P50,72.5,72.5,0.0
H0056,0.78,-0.0,Log,66.3,70.9,4.6
H0057,3.4,0.54,P50,43.9,43.9,0.0
H0058,1.96,0.75,AQ(P30),56.5,51.8,-4.7
H0060,0.81,-0.19,P50,80.3,80.3,0.0
H0062,1.26,0.06,P50,81.3,81.3,0.0
H0063,0.54,-0.0,Log,73.6,75.5,1.9
H0065,0.79,-0.25,P50,71.2,71.2,0.0
H0066,0.8,0.26,P50,78.5,78.5,0.0
H0071,1.01,0.2,AQ(P40),67.4,71.6,4.1
H0073,1.04,0.48,AQ(P30),73.3,74.1,0.8
H0075,0.9,0.01,P50,49.0,49.0,0.0
H0078,1.9,0.35,AQ(P30),58.6,67.9,9.3
H0080,0.9,-0.0,P50,52.2,52.2,0.0
H0081,1.05,-0.94,P50,32.2,32.2,0.0
H0082,0.69,-0.06,P50,72.2,72.2,0.0
H0083,1.65,-0.36,P50,51.9,51.9,0.0
H0086,1.35,-0.07,P50,80.7,80.7,0.0
H0087,1.35,0.04,P50,62.1,62.1,0.0
H0088,3.8,2.44,P50,64.8,64.8,0.0
H0089,0.82,0.14,P50,72.0,72.0,0.0
H0090,0.7,0.45,P50,67.0,67.0,0.0
H0092,2.32,0.39,P50,68.8,68.8,0.0
H0093,0.51,0.02,Log,87.8,88.0,0.3
H0096,0.6,0.09,Log,74.4,75.3,0.9
H0098,0.71,-0.02,Log,75.7,76.3,0.6
H0099,0.94,0.01,P50,65.1,65.1,0.0
