sku,cv,strategy,accuracy
H0002,1.85,ensemble,83.9
H0004,0.76,chronos,73.7
H0005,1.49,chronos+bias,79.1
H0007,1.22,chronos+bias,75.8
H0008,1.29,chronos+bias,79.5
H0012,0.97,chronos,83.7
H0013,0.47,chronos,83.0
H0015,1.29,chronos+bias,79.2
H0016,4.17,ensemble,50.5
H0017,1.05,chronos+bias,71.7
H0020,0.92,chronos,65.2
H0021,0.58,chronos,82.3
H0023,0.86,chronos,79.9
H0025,3.42,ensemble,64.2
H0026,2.35,ensemble,71.5
H0028,1.58,ensemble,82.6
H0030,0.87,chronos,80.5
H0031,0.73,chronos,65.3
H0032,2.9,ensemble,66.2
H0033,2.88,ensemble,49.9
H0034,2.13,ensemble,63.4
H0035,2.18,ensemble,48.8
H0038,0.99,chronos,74.9
H0041,1.09,chronos+bias,78.5
H0044,1.69,ensemble,74.6
H0046,1.15,chronos+bias,82.3
H0047,1.98,ensemble,73.0
H0048,0.94,chronos,73.3
H0049,0.58,chronos,68.6
H0050,0.68,chronos,74.0
H0053,1.19,chronos+bias,81.3
H0054,1.33,chronos+bias,69.6
H0055,0.91,chronos,76.8
H0056,0.78,chronos,67.8
H0057,3.4,ensemble,66.3
H0058,1.96,ensemble,68.2
H0060,0.81,chronos,83.0
H0062,1.26,chronos+bias,83.1
H0063,0.54,chronos,74.7
H0065,0.79,chronos,76.4
H0066,0.8,chronos,77.8
H0071,1.01,chronos+bias,71.1
H0073,1.04,chronos+bias,72.9
H0075,0.9,chronos,57.5
H0078,1.9,ensemble,70.7
H0080,0.9,chronos,54.0
H0081,1.05,chronos+bias,46.5
H0082,0.69,chronos,76.4
H0083,1.65,ensemble,63.5
H0086,1.35,chronos+bias,82.0
H0087,1.35,chronos+bias,69.2
H0088,3.8,ensemble,58.6
H0089,0.82,chronos,74.8
H0090,0.7,chronos,76.5
H0092,2.32,ensemble,73.4
H0093,0.51,chronos,86.8
H0096,0.6,chronos,78.4
H0098,0.71,chronos,81.1
H0099,0.94,chronos,58.8
